order_id,sell_date,client_id,product_id,order_value
31,2024-02-01,1031,2031,79.99
32,2024-02-02,1032,2032,89.99
33,2024-02-03,1033,2033,49.99
34,2024-02-04,1034,2034,29.99
35,2024-02-05,1035,2035,59.99
36,2024-02-06,1036,2036,69.99
37,2024-02-07,1037,2037,99.99
38,2024-02-08,1038,2038,39.99
39,2024-02-09,1039,2039,49.99
40,2024-02-10,1040,2040,79.99
41,2024-02-11,1041,2041,59.99
42,2024-02-12,1042,2042,89.99
43,2024-02-13,1043,2043,99.99
44,2024-02-14,1044,2044,29.99
45,2024-02-15,1045,2045,69.99
46,2024-02-16,1046,2046,49.99
47,2024-02-17,1047,2047,39.99
48,2024-02-18,1048,2048,79.99
49,2024-02-19,1049,2049,89.99
50,2024-02-20,1050,2050,59.99
51,2024-02-21,1051,2051,99.99
52,2024-02-22,1052,2052,69.99
53,2024-02-23,1053,2053,39.99
54,2024-02-24,1054,2054,49.99
55,2024-02-25,1055,2055,29.99
56,2024-02-26,1056,2056,79.99
57,2024-02-27,1057,2057,59.99
58,2024-02-28,1058,2058,99.99
59,2024-02-29,1059,2059,89.99
60,2024-03-01,1060,2060,69.99
